# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth128

# Run progress: 0.00% complete, ETA 00:15:27
# Fork: 1 of 1
# Warmup Iteration   1: 64.711 ns/op
# Warmup Iteration   2: 65.426 ns/op
# Warmup Iteration   3: 64.696 ns/op
Iteration  13: 64.925 ns/op
Iteration  14: 64.951 ns/op
Iteration  15: 64.957 ns/op
Iteration  16: 64.926 ns/op
Iteration  17: 64.948 ns/op
Iteration  18: 64.980 ns/op
Iteration  19: 64.939 ns/op
Iteration  20: 64.953 ns/op
Iteration  21: 64.936 ns/op
Iteration  22: 64.936 ns/op
Iteration  23: 64.938 ns/op
Iteration  24: 64.952 ns/op
Iteration  25: 64.957 ns/op
Iteration  26: 64.988 ns/op
Iteration  27: 64.965 ns/op
Iteration  28: 64.966 ns/op
Iteration  29: 64.969 ns/op
Iteration  30: 65.063 ns/op
Iteration  31: 64.939 ns/op
Iteration  32: 64.944 ns/op
Iteration  33: 65.258 ns/op
Iteration  34: 65.013 ns/op
Iteration  35: 64.959 ns/op
Iteration  36: 65.053 ns/op
Iteration  37: 64.972 ns/op
Iteration  38: 65.062 ns/op
Iteration  39: 64.935 ns/op
Iteration  40: 64.948 ns/op
Iteration  41: 64.932 ns/op
Iteration  42: 64.951 ns/op
Iteration  43: 64.975 ns/op
Iteration  44: 64.991 ns/op
Iteration  45: 64.937 ns/op
Iteration  46: 64.939 ns/op
Iteration  47: 64.926 ns/op
Iteration  48: 64.888 ns/op
Iteration  49: 64.918 ns/op
Iteration  50: 65.046 ns/op
Iteration  51: 64.931 ns/op
Iteration  52: 64.934 ns/op
Iteration  53: 64.938 ns/op
Iteration  54: 64.931 ns/op
Iteration  55: 64.960 ns/op
Iteration  56: 64.943 ns/op
Iteration  57: 66.653 ns/op
Iteration  58: 64.937 ns/op
Iteration  59: 64.927 ns/op
Iteration  60: 64.935 ns/op
Iteration  61: 64.936 ns/op
Iteration  62: 64.947 ns/op
Iteration  63: 64.929 ns/op
Iteration  64: 64.946 ns/op
Iteration  65: 64.932 ns/op
Iteration  66: 64.929 ns/op
Iteration  67: 65.006 ns/op
Iteration  68: 64.928 ns/op
Iteration  69: 64.950 ns/op
Iteration  70: 64.929 ns/op
Iteration  71: 64.943 ns/op
Iteration  72: 64.945 ns/op
Iteration  73: 64.934 ns/op
Iteration  74: 64.942 ns/op
Iteration  75: 64.942 ns/op
Iteration  76: 64.933 ns/op
Iteration  77: 64.960 ns/op
Iteration  78: 64.939 ns/op
Iteration  79: 64.931 ns/op
Iteration  80: 64.942 ns/op
Iteration  81: 64.934 ns/op
Iteration  82: 64.937 ns/op
Iteration  83: 64.917 ns/op
Iteration  84: 64.946 ns/op
Iteration  85: 65.122 ns/op
Iteration  86: 64.935 ns/op
Iteration  87: 64.938 ns/op
Iteration  88: 64.943 ns/op
Iteration  89: 64.932 ns/op
Iteration  90: 65.072 ns/op
Iteration  91: 64.947 ns/op
Iteration  92: 64.918 ns/op
Iteration  93: 64.927 ns/op
Iteration  94: 65.036 ns/op
Iteration  95: 64.931 ns/op
Iteration  96: 64.929 ns/op
Iteration  97: 64.951 ns/op
Iteration  98: 64.916 ns/op
Iteration  99: 64.938 ns/op
Iteration 100: 64.940 ns/op


Result "com.benchmark.DispatchBenchmarkNoJIT.chainDepth2":
  64.972 ±(99.9%) 0.060 ns/op [Average]
  (min, avg, max) = (64.888, 64.972, 66.653), stdev = 0.176
  CI (99.9%): [64.912, 65.031] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: -Xint
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmarkNoJIT.chainDepth32

# Run progress: 33.33% complete, ETA 00:10:20
# Fork: 1 of 1
# Warmup Iteration   1: 68.018 ns/op
# Warmup Iteration   2: 68.000 ns/op
# Warmup Iteration   3: 68.013 ns/op
Iteration   1: 68.393 ns/op
Iteration   2: 68.017 ns/op
Iteration   3: 68.014 ns/op
Iteration   4: 67.984 ns/op
Iteration   5: 67.992 ns/op
Iteration   6: 68.021 ns/op
Iteration   7: 67.995 ns/op
Iteration   8: 68.004 ns/op
Iteration   9: 67.983 ns/op
Iteration  10: 67.996 ns/op
Iteration  11: 68.007 ns/op
Iteration  12: 68.002 ns/op
Iteration  13: 68.025 ns/op
Iteration  14: 68.003 ns/op
Iteration  15: 68.002 ns/op
Iteration  16: 67.971 ns/op
Iteration  17: 68.466 ns/op
Iteration  18: 68.386 ns/op
Iteration  19: 67.988 ns/op
Iteration  20: 68.008 ns/op
Iteration  21: 68.015 ns/op
Iteration  22: 68.007 ns/op
Iteration  23: 68.057 ns/op
Iteration  24: 67.984 ns/op
Iteration  25: 68.008 ns/op
Iteration  26: 68.181 ns/op
Iteration  27: 68.009 ns/op
Iteration  28: 68.004 ns/op
Iteration  29: 67.987 ns/op
Iteration  30: 67.987 ns/op
Iteration  31: 68.030 ns/op
Iteration  32: 68.003 ns/op
Iteration  33: 69.883 ns/op
Iteration  34: 67.993 ns/op
Iteration  35: 67.988 ns/op
Iteration  36: 67.997 ns/op
Iteration  37: 68.006 ns/op
Iteration  38: 68.005 ns/op
Iteration  39: 68.961 ns/op
Iteration  40: 67.994 ns/op
Iteration  41: 68.003 ns/op
Iteration  42: 67.993 ns/op
Iteration  43: 68.013 ns/op
Iteration  44: 67.983 ns/op
Iteration  45: 68.081 ns/op
Iteration  46: 68.247 ns/op
Iteration  47: 67.998 ns/op
Iteration  48: 67.995 ns/op
Iteration  49: 67.983 ns/op
